<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	04:00:00	61.08	61.09	60.81	61.07	178	0	4
2020.01.02	08:00:00	61.07	61.29	60.93	61.06	1192	0	2
2020.01.02	12:00:00	61.05	61.14	60.76	61.00	1546	0	2
2020.01.02	16:00:00	60.99	61.20	60.51	60.74	3458	0	2
2020.01.02	20:00:00	60.74	61.11	60.68	60.99	1169	0	6
2020.01.03	00:00:00	61.01	62.14	60.96	62.13	829	0	2
2020.01.03	04:00:00	62.13	63.65	61.96	62.71	3260	0	2
2020.01.03	08:00:00	62.70	63.22	62.65	63.17	1820	0	2
2020.01.03	12:00:00	63.18	63.89	62.95	63.22	3488	0	2
2020.01.03	16:00:00	63.22	63.40	62.07	62.48	4798	0	2
2020.01.03	20:00:00	62.48	63.23	62.44	62.88	2773	0	2
2020.01.06	00:00:00	63.58	64.22	63.41	64.22	1401	0	2
2020.01.06	04:00:00	64.22	64.53	63.99	64.12	1072	0	3
2020.01.06	08:00:00	64.14	64.19	63.70	63.73	1949	0	2
2020.01.06	12:00:00	63.74	63.77	63.30	63.69	2686	0	2
2020.01.06	16:00:00	63.69	63.78	62.66	62.86	4306	0	2
2020.01.06	20:00:00	62.86	63.24	62.47	62.62	1877	0	2
2020.01.07	00:00:00	62.71	62.88	62.41	62.68	756	0	2
2020.01.07	04:00:00	62.68	62.69	62.13	62.42	825	0	2
2020.01.07	08:00:00	62.42	62.97	62.42	62.78	2213	0	2
2020.01.07	12:00:00	62.79	62.89	62.46	62.72	2271	0	2
2020.01.07	16:00:00	62.74	62.78	61.99	62.20	4452	0	3
2020.01.07	20:00:00	62.21	62.80	62.20	62.66	1627	0	3
2020.01.08	00:00:00	62.66	65.42	62.58	64.29	5053	0	3
2020.01.08	04:00:00	64.28	64.28	63.03	63.10	2666	0	3
2020.01.08	08:00:00	63.10	63.19	62.58	62.77	2386	0	3
2020.01.08	12:00:00	62.77	62.91	61.14	61.71	3525	0	3
2020.01.08	16:00:00	61.71	62.27	59.51	59.64	6877	0	3
2020.01.08	20:00:00	59.64	60.28	58.99	59.77	3368	0	3
2020.01.09	00:00:00	59.77	60.15	59.53	59.88	1212	0	3
2020.01.09	04:00:00	59.87	60.03	59.76	59.89	778	0	8
2020.01.09	08:00:00	59.88	59.98	59.39	59.65	2517	0	3
2020.01.09	12:00:00	59.65	59.91	59.33	59.36	2774	0	3
2020.01.09	16:00:00	59.34	59.49	58.55	59.38	5059	0	3
2020.01.09	20:00:00	59.38	59.72	59.24	59.49	1921	0	3
2020.01.10	00:00:00	59.49	59.53	59.22	59.26	554	0	5
2020.01.10	04:00:00	59.26	59.40	59.22	59.38	428	0	5
2020.01.10	08:00:00	59.38	59.45	59.11	59.27	1806	0	3
2020.01.10	12:00:00	59.28	59.66	59.11	59.23	2128	0	3
2020.01.10	16:00:00	59.23	59.45	58.77	59.12	4181	0	3
2020.01.10	20:00:00	59.13	59.32	58.89	59.10	1503	0	3
2020.01.13	00:00:00	58.79	59.00	58.68	58.96	741	0	3
2020.01.13	04:00:00	58.96	59.14	58.89	59.09	589	0	3
2020.01.13	08:00:00	59.08	59.19	58.85	59.13	1586	0	3
2020.01.13	12:00:00	59.14	59.15	58.82	58.96	1782	0	3
2020.01.13	16:00:00	58.97	58.97	57.94	58.33	3698	0	3
2020.01.13	20:00:00	58.33	58.44	57.90	58.04	1519	0	3
2020.01.14	00:00:00	58.07	58.30	57.97	58.22	660	0	3
2020.01.14	04:00:00	58.23	58.27	57.96	58.06	524	0	5
2020.01.14	08:00:00	58.07	58.21	57.72	58.17	1641	0	3
2020.01.14	12:00:00	58.18	58.70	58.08	58.54	2053	0	3
2020.01.14	16:00:00	58.54	58.59	58.13	58.42	3203	0	3
2020.01.14	20:00:00	58.42	58.65	58.13	58.19	1776	0	3
2020.01.15	00:00:00	58.17	58.21	58.05	58.06	462	0	5
2020.01.15	04:00:00	58.06	58.19	58.00	58.10	446	0	3
2020.01.15	08:00:00	58.12	58.18	57.88	58.01	1165	0	4
2020.01.15	12:00:00	58.01	58.38	57.89	58.04	1562	0	3
2020.01.15	16:00:00	58.03	58.30	57.40	57.99	3885	0	3
2020.01.15	20:00:00	58.00	58.17	57.77	58.04	1562	0	4
2020.01.16	00:00:00	58.04	58.24	58.04	58.19	459	0	5
2020.01.16	04:00:00	58.19	58.27	58.14	58.27	371	0	4
2020.01.16	08:00:00	58.27	58.38	57.90	57.99	1397	0	3
2020.01.16	12:00:00	58.00	58.12	57.59	58.06	1776	0	3
2020.01.16	16:00:00	58.05	58.84	57.91	58.64	2878	0	3
2020.01.16	20:00:00	58.64	58.71	58.30	58.60	1117	0	3
2020.01.17	00:00:00	58.57	58.69	58.41	58.42	439	0	5
2020.01.17	04:00:00	58.42	58.53	58.42	58.47	361	0	5
2020.01.17	08:00:00	58.47	58.77	58.43	58.61	1431	0	3
2020.01.17	12:00:00	58.60	58.93	58.59	58.76	1935	0	3
