Contract,Last,Change,Open,High,Low,Previous,Volume,Open Int,Time,
CLY00 (Cash),-13.1,-31.22,0,-13.1,-13.1,18.12,0,0,4/20/2020,
CLK20 (May '20),-15.92,21.71,-14,-13.9,-16.74,-37.63,539,108593,17:40 CT,5/20/2020
CLM20 (Jun '20),21.21,0.78,21.32,21.6,20.7,20.43,13498,538038,17:40 CT,6/20/2020
CLN20 (Jul '20),27.11,0.83,27.18,27.43,26.57,26.28,1480,330373,17:40 CT,7/20/2020
CLQ20 (Aug '20),29.11,0.6,28.85,29.33,28.58,28.51,628,146830,17:40 CT,8/20/2020
CLU20 (Sep '20),30.18,0.34,30.01,30.25,29.73,29.84,437,153740,17:38 CT,9/20/2020
CLV20 (Oct '20),31.04,0.23,30.94,31.25,30.64,30.81,203,101997,17:31 CT,10/20/2020
CLX20 (Nov '20),31.66,-1.64,33.27,33.51,31.26,33.3,24328,84816,4/20/2020,11/20/2020
CLZ20 (Dec '20),32.55,0.14,32.42,32.55,32.1,32.41,773,295314,17:40 CT,12/20/2020
CLF21 (Jan '21),33.12,0.1,32.87,33.29,32.87,33.02,149,65269,17:31 CT,1/20/2021
CLG21 (Feb '21),33.89,0.36,33.29,33.89,33.29,33.53,48,37377,17:31 CT,2/20/2021
CLH21 (Mar '21),33.65,-0.33,33.97,33.97,33.65,33.98,106,45889,17:21 CT,3/20/2021
CLJ21 (Apr '21),34.35,-0.91,35.38,35.47,34.35,35.26,2611,22008,4/20/2020,4/20/2021
CLK21 (May '21),34.68,-0.84,35,35.5,34.68,35.52,1444,19452,4/20/2020,5/20/2021
CLM21 (Jun '21),35.11,0.12,35.01,35.11,34.72,34.99,344,85534,17:31 CT,6/20/2021
CLN21 (Jul '21),35.25,-0.71,35.67,36.21,35.25,35.96,546,19678,13:53 CT,7/20/2021
CLQ21 (Aug '21),35.5,-0.66,35.83,36.44,35.28,36.16,341,13301,4/20/2020,8/20/2021
CLU21 (Sep '21),35.74,-0.63,36.54,36.76,35.74,36.37,2648,25319,4/20/2020,9/20/2021
CLV21 (Oct '21),35.99,-0.6,36.4,36.71,35.99,36.59,100,11208,4/20/2020,10/20/2021
CLX21 (Nov '21),36.25,-0.57,36.55,36.97,36.25,36.82,416,12225,4/20/2020,11/20/2021
CLZ21 (Dec '21),36.51,0.03,36.35,36.76,36.28,36.48,215,94893,17:38 CT,12/20/2021
CLF22 (Jan '22),36.67,-0.55,37.22,37.41,36.67,37.22,184,8893,4/20/2020,1/20/2022
